Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
40	66.8422	0.0	66.8422	66.8422	1000.0	8.089583	1.9717274	12.485434	-0.2570705	41000	-0.021584544	30.991909	-0.004519766	-1.3873558	2.6507397	0.0014661129	795.7066795825958
41	103.79749	0.0	103.79749	103.79749	1000.0	3.8436763	4.0372357	12.013929	-8.602013	42000	-0.05881626	103.46218	-0.002721861	-39.729584	2.5998242	-0.00024142885	814.5128555297852
42	170.249	0.0	170.249	170.249	1000.0	10.409387	3.3946006	16.001837	-0.30356482	43000	-0.015147908	121.526054	-0.0013206229	-10.790558	2.6079752	-0.00047486066	833.2261369228363
43	71.41891	0.0	71.41891	71.41891	1000.0	11.166597	3.189003	18.424513	-0.0054401755	44000	-0.034084026	64.48323	-0.0034981743	-23.706184	2.629725	-0.000500175	851.972934961319
44	54.542507	0.0	54.542507	54.542507	1000.0	8.013231	4.9622912	16.640518	-4.4699574	45000	-0.023637487	32.586082	-0.0029907823	-2.4442482	2.6791532	0.0025965443	870.7678799629211
45	118.929756	0.0	118.929756	118.929756	1000.0	8.010364	3.837636	16.0384	-4.6105275	46000	0.0060897497	61.80964	-0.009386692	-18.333984	2.6569293	0.0028128463	889.4679045677185
46	113.92051	0.0	113.92051	113.92051	1000.0	10.90842	4.020379	19.574553	-0.35898674	47000	-0.028973486	37.891468	-0.00095381774	-0.6103859	2.6545708	0.00060834596	908.1260635852814
47	107.47728	0.0	107.47728	107.47728	1000.0	11.038333	3.9860902	19.986279	-2.17014	48000	-0.13562377	33.633152	-0.0012619793	-1.0226555	2.626554	0.000711328	926.8860795497894
48	182.29248	0.0	182.29248	182.29248	1000.0	15.085097	3.073478	20.839804	3.9647553	49000	0.059935912	68.03711	-0.0020237602	-9.17543	2.6256142	-0.00043447316	945.6200957298279
49	58.350292	0.0	58.350292	58.350292	1000.0	13.18326	3.1944616	20.040037	1.7559977	50000	-0.06482216	99.99061	-0.0036474615	-42.537357	2.668894	0.0017561354	964.6770658493042
50	118.18596	0.0	118.18596	118.18596	1000.0	8.128645	3.7514951	15.394373	-4.151921	51000	-0.053694792	64.44112	-0.003294304	-18.578388	2.5942042	0.001860757	984.3329610824585
51	68.619316	0.0	68.619316	68.619316	1000.0	13.441928	4.5138927	21.55846	1.2259593	52000	-0.04449689	87.26688	-0.002916485	-50.139076	2.5767212	0.000888886	1003.0801694393158
52	160.00262	0.0	160.00262	160.00262	1000.0	8.292818	3.8221953	14.52425	-4.16466	53000	-0.07723639	87.31706	-0.001380533	-49.597054	2.5317624	1.078248e-06	1022.5423014163971
53	42.96698	0.0	42.96698	42.96698	1000.0	10.269399	3.6567502	19.690641	-0.77535164	54000	-0.054673772	42.187767	-0.0033075325	-17.880404	2.5072372	0.001786763	1041.2357811927795
54	100.833115	0.0	100.833115	100.833115	1000.0	11.280143	2.8725708	18.815008	1.3686496	55000	-0.11451321	97.26114	-0.002553925	-11.421173	2.5782945	0.0017292716	1059.9035000801086
55	168.12741	0.0	168.12741	168.12741	1000.0	11.693645	2.1848605	16.77373	2.5760207	56000	-0.07428984	85.72988	-0.002653569	-13.341972	2.5625014	0.0008024216	1078.615644454956
56	85.04587	0.0	85.04587	85.04587	1000.0	13.123206	3.303668	20.27629	1.3225737	57000	-0.008737174	61.38672	-0.003366026	-24.563938	2.488372	0.0014806531	1097.237812280655
57	91.92302	0.0	91.92302	91.92302	1000.0	6.985318	4.0050898	15.850369	-7.1915174	58000	0.02357686	51.268658	-0.0018494204	-10.267651	2.4783397	-0.00015902019	1116.054319858551
58	234.77002	0.0	234.77002	234.77002	1000.0	13.241283	1.8358276	17.756266	3.0652533	59000	0.06550013	155.71475	-0.0024816021	-74.003944	2.533461	0.0039021792	1135.065666437149
59	227.00168	0.0	227.00168	227.00168	1000.0	20.008984	3.0942209	26.78858	9.191966	60000	-0.06478169	127.02776	-0.0060807765	-33.490005	2.4535592	-0.00040666127	1154.0426547527313
60	106.75229	0.0	106.75229	106.75229	1000.0	24.227495	2.7889261	30.027266	9.683671	61000	-0.021918286	192.65997	-0.004503159	-138.84322	2.4835925	0.008115147	1173.6238486766815
61	211.70119	0.0	211.70119	211.70119	1000.0	11.956717	2.3752427	16.972244	-1.4439011	62000	-0.036110986	155.02713	-0.0062921494	-85.94046	2.4685183	0.0028261147	1192.5563459396362
62	229.55945	0.0	229.55945	229.55945	1000.0	21.108654	2.637942	27.556377	6.1430917	63000	-0.031670026	76.815155	-0.008311089	-2.092369	2.434214	0.0052723964	1211.2853860855103
63	224.37611	0.0	224.37611	224.37611	1000.0	23.244505	2.3742025	29.396618	10.009894	64000	0.008217146	55.05752	-0.001771545	-0.96803665	2.4424202	0.0059664734	1229.9788119792938
64	61.34461	0.0	61.34461	61.34461	1000.0	19.390368	2.3057122	26.540169	6.517143	65000	-0.05644233	165.30081	0.0001369752	-142.35753	2.5174892	0.002527675	1248.6785151958466
65	240.31067	0.0	240.31067	240.31067	1000.0	11.040228	3.3863885	16.978226	-5.088317	66000	-0.012086418	283.00833	-0.0042693587	-177.01709	2.4384933	0.0047948053	1267.7025051116943
66	151.39886	0.0	151.39886	151.39886	1000.0	22.338089	2.859402	29.767155	11.262534	67000	0.04752914	102.68795	-0.004420668	-53.48728	2.3205674	0.005086826	1287.0785236358643
67	230.62793	0.0	230.62793	230.62793	1000.0	18.783278	2.5625591	24.289957	3.7105396	68000	-0.08383761	97.4553	-0.006897196	-21.045387	2.3754785	0.004001607	1305.7663598060608
